Image,Identifier,Title,Tot_value,Data,Rank
"https://m.media-amazon.com/images/M/MV5BM2Q5MGU2ZTktYmE4OS00YTkzLWJjZWUtY2RkZWIyNTZkNmVlXkEyXkFqcGdeQXVyODAxMjg3MTU@._V1_QL75_UX1000_CR0,52,1000,563_.jpg",S1.E1,The End's Beginning,26100,20/12/2019,8.2
"https://m.media-amazon.com/images/M/MV5BZWQ3MzZkY2QtZjA0My00MGI0LWE4ZWEtMGZhMDRhYWRkYzkyXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX1000_CR0,53,1000,563_.jpg",S1.E2,Four Marks,22129,20/12/2019,7.7
"https://m.media-amazon.com/images/M/MV5BZWE3NDI0NGUtY2Q5ZC00ZDA1LWE5MGYtZjlmNTU1OTYwMjAzXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX1000_CR0,53,1000,563_.jpg",S1.E3,Betrayer Moon,21922,20/12/2019,8.5
"https://m.media-amazon.com/images/M/MV5BMDhjMzZhOTUtNjBiOC00MGZkLWFmODAtYjc4MDIyN2ViYjkwXkEyXkFqcGdeQXVyNTQxOTM1NTc@._V1_QL75_UX1000_CR0,52,1000,563_.jpg",S1.E4,"Of Banquets, Bastards and Burials",20153,20/12/2019,8.4
"https://m.media-amazon.com/images/M/MV5BYTAxZTYwMDUtOWFjNi00M2FhLWI0MzctZjFkNjFmMWE5MzRhXkEyXkFqcGdeQXVyNTQxOTM1NTc@._V1_QL75_UX1000_CR0,49,1000,563_.jpg",S1.E5,Bottled Appetites,18900,20/12/2019,8.2
"https://m.media-amazon.com/images/M/MV5BZTFkYjU2NDgtZGQ1Yi00NjI2LWJhMjktYjdiNWJlNDBjOTE4XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UX1000_CR0,53,1000,563_.jpg",S1.E6,Rare Species,18708,20/12/2019,8.1
"https://m.media-amazon.com/images/M/MV5BMWI3MDBkMzItNWRkZS00YjdmLWI1ZDAtNTI1YjllODZhMWM4XkEyXkFqcGdeQXVyMjg2MTMyNTM@._V1_QL75_UX1000_CR0,53,1000,563_.jpg",S1.E7,Before a Fall,18396,20/12/2019,8.3
"https://m.media-amazon.com/images/M/MV5BYjc3NTk0ODktMTllMS00N2E5LTg4MzgtMjNiOTBhMTZlODM5XkEyXkFqcGdeQXVyMjQ3MTkwNzI@._V1_QL75_UX1000_CR0,0,1000,563_.jpg",S1.E8,Much More,21701,20/12/2019,8.8
